No;Judul;Penulis;Genre;Sinopsis;URL Sumber;;;;;;
57;Sweet Cake;stlutfiyani;"Romansa, Sekolah, Humor, Keluarga, Trauma";"""Kata Mami, Dede itu manis, kaya kue.""

Perumpamaan yang sering kali Avisha ucapkan. Gadis kecil dengan julukan 'Si manis maniak kue'

Bagaimana jadinya jika Avisha yang sudah nyaman menjadi anak tunggal, harus tersingkirkan secara tiba-tiba hanya kurang dalam waktu semalam?

Avisha tahu bahwa ia sebentar lagi akan memiliki keluarga baru, karena Maminya yang tiba-tiba meminta izin untuk kembali menikah. Namun, yang Avisha tak tahu.. Papa sambung yang di maksud Kirana adalah Papa kandungnya sendiri. Pria yang dulu tega meninggalkan dirinya dan Mami hanya demi wanita lain. Pria yang telah menggores luka terlalu dalam dihati kecilnya.

Kini, Avisha tak hanya harus menerima kembalinya sang Papa, tapi juga kehadiran tiga Kakak laki-laki baru dalam hidupnya.

Tiada hari tanpa kejahilan dari Avisha, dan tiada hari juga tanpa teriakan melengking di setiap sudut rumah.

Berapa lama si kecil Avisha bisa bertahan menghadapi kasih sayang yang tak pernah ia minta? Akankah ia berhasil merebut kembali Maminya seorang diri... atau justru luluh dalam kehangatan keluarga yang tak pernah ia bayangkan?.
";https://www.wattpad.com/story/394736475-sweet-cake;;;;;;
58;Lionel Kandra;Pandan-green;"Keluarga, Komedi, Sekolah";"Sebenarnya hati Lionel itu baik dan suci, tapi cuma waktu bayi.

Dia orangnya penolong, buktinya mau bantuin anak kecil yang dibuang orang tuanya. Bantuin buat bunuh ibunya.

""Lo kenapa?""

""Aku dibuang sama mama, kak..""

""Ck ck ck. Kasihan banget. Ayo bunuh ibu lo, gue bantuin.""

Lionel itu ... kejam. Dan bagaimana mungkin anak berandal yang beberapa kali masuk sel ini, malah banyak yang menyayangi?";https://www.wattpad.com/story/399983539-lionel-kandra;;;;;;
59;This is Not A Good Love Story;rinasuiii;"Keluarga, Romansa";"Dalam kisah Romeo dan Juliet, kita diajarkan bahwa cinta butuh pengorbanan. Dalam kisah The Notebook, cinta diibaratkan sebuah rumah, walau berkali-kali mendapat rintangan, kamu akan selalu kembali pada satu orang itu. 

Bila ditilik, apa kalian mendapat pemahaman, sebenarnya cerita cinta yang indah itu kayak gimana? Apa penuh pengorbanan meski akhirnya tidak bersama? Ataukah yang berhasil bertahan sampai akhir? Atau ada unsur lainnya? 

Nola tidak sedang dalam kebimbangan harus meneguk racun atau terpisah ikatan pernikahan dengan orang yang ia cintai, kisahnya lebih sederhana. Ini dimulai dari dirinya yang jatuh cinta pada tetangganya, Dirga, seseorang yang mengaku tidak percaya cinta. 

Ia tidak tahu apa kisahnya menjadi salah satu kisah cinta yang gagal ataukah baik. Permulaannya sih, merujuk ke pilihan pertama. 

Kehidupan SMA-nya juga diwarnai dengan perasaan ditinggalkan sahabat pacaran, orang tua yang tidak mendukung dan membeda-bedakan, juga tambahan kisah yang menguak masa lalu kelamnya Dirga. 

Jika kalian adalah orang-orang yang pernah merasa terluka, kecewa, tertolak dalam kisah cinta remajamu. Ini mewakili kisahmu juga. 

Karena ini bukan kisah cinta yang indah.";https://www.wattpad.com/story/243171513-this-is-not-a-good-love-story-completed;;;;;;
60;Teman Kos Dari Neraka;Kai Elian;"Romansa, Komedi";"Aulia senang sekali karena dapat beasiswa untuk kuliah di Melbourne. Apalagi tempat kosnya murah, nyaman, dan ibu kosnya baik. Tapi kesenangan itu menguap setelah Aulia tahu dia harus berbagi rumah dengan Jovan, cowok ketus yang tanpa sengaja pernah memukulnya dengan kotak gitar di stasiun. Sikap Jovan yang cuek, suka mencuri dan seenaknya bikin hidup Aulia di rumah merana. Dan seolah itu belum cukup, Aulia juga harus sekelas dengan Jovan di kampus.

Bersama Ningsih sahabat baiknya, Aulia mencoba menjalani hidupnya di Melbourne sebaik mungkin. Aulia berkenalan dengan Terry, pemuda lokal yang diam-diam naksir padanya. Lalu ada juga Allison, vokalis yang satu band dengan Jovan sekaligus teman kos Ningsih; dan Alva, cewek manis asal Tiongkok.

Suatu malam, Jovan pulang ke rumah dalam keadaan babak belur. Namun cowok itu tidak mau memberitahu Aulia apa yang terjadi. Kemudian Jovan menghilang selama seminggu dari rumah. Saat membantu tugas Ningsih di rumah sakit, Aulia melihat sekelompok pria Tiongkok sedang mencari Jovan. Lewat terjemahan Alva, Aulia jadi tahu kalau Jovan berurusan dengan para mafia yang menginginkan uang darinya!

Apa sebenarnya yang terjadi pada Jovan, teman kosnya yang super nyebelin itu?";https://www.wattpad.com/story/184496091-teman-kos-dari-neraka-tamat;;;;;;
61;Elegi Rasa : Pergi;Kala Seta;"Romansa, Waktu, Sekolah";"Kadang menjadi begitu terlambat menyadari sesuatu akan membekaskan rasa sakit yang tak lekang oleh waktu. Saat cerita yang kelewat singkat dilalui menghantarkan pada sakit yang menghantui.

Safir sudah merasakannya. Dua kali dalam hidup ia seperti dipermainkan rasa. Nila yang tak mau melihat. Dan Bianca yang pergi pada sesuatu yang tak terlihat.

Ketika sepi melanda. Bukannya pada dunia yang luas, hanya pada dunianya sendiri yang tiba-tiba runtuh. Safir merasa begitu buruk di mata Bianca. Merasa begitu lelah di hadapan Nila.

Dan malam itu, harusnya ia berusaha lebih keras. Saat si gadis berkata, ""Aku pamit pulang, ya."" Harusnya Safir membujuk lebih tegas. ""Biar aku yang antar.""

Kenyataannya, Safir menjadi begitu terlambat. Saat rasa itu mulai tertambat. Hatinya justru sakit tanpa ada yang membebat.";https://www.wattpad.com/story/312148281-elegi-rasa-pergi;;;;;;
62;ZIDANE;dsulisty12;"Sekolah, Misteri";"Zidan, ketua geng motor dengan segala ketampanannya dan pesonanya membuat banyak kaum hawa terpikat. Namanya bukan ketua geng motor jika tidak bisa menguasai ilmu bela diri. 

Berasal dan memiliki marga dari kalangan bukan sembarang membuatnya disegani bahkan ditakuti banyak orang. 

Dia tidak dingin, dia humble jika bersama teman cowoknya dan akan berubah menjadi sosok yang ganas saat memimpin gengnya dan melawan musuhnya. Jangan lupakan, jika ia hanya bersikap hangat pada orang spesial dihatinya.

Dirinya ditakdirkan bertemu dengan sosok gadis yang penuh rahasia. 

Dingin. Pendiam. Irit bicara. Itulah sekilas deskripsi gadis itu yang entah kenapa bisa masuk ke dalam kehidupan Zidan.

Permasalahan demi permasalahan menghampiri mereka hingga membuat nyawa mereka dan orang terdekat terancam. Apalagi dengan teka-teki yang harus mereka temukan jawabannya. Lalu, bagaimana cara mereka untuk menyelesaikan masalah dengan kemungkinan yang bisa saja terjadi? ";https://www.wattpad.com/story/235985954-zidane-end;;;;;;
63;Kerfuffle ;Tasyayouth;"Romansa, Komedi";"Nikah? Kata mereka, kehidupan pernikahan itu ajaib. Akan ada hal-hal tidak terduga dalam kehidupan pernikahan. 

Ajaib? Sepertinya itu pula yang dirasakan oleh Cattleya Renanthera. 

Keajaiban demi keajaiban terus masuk ke kehidupannya. Semua karena seorang lelaki bernama Davano Algara. Lelaki yang punya dua sudut berbeda. Si dosen killer di kampusnya dan juga si suami yang mampu membuatnya baper secara tidak terduga.

Namun, baik berperan sebagai suami atau pun dosen, Davano tetap terlihat menyebalkan di mata Cattleya. Mereka tidak pernah bisa akur satu sama lain. Bak positif-negatif, siang-malam, bahkan bumi-langit. Perbedaan-perbedaan itu membuat keduanya saling tarik ulur. Dan memang, dunia pernikahan juga butuh perjuangan seperti menulis skripsi demi sebuah kelulusan abadi.";https://www.wattpad.com/story/207674893-kerfuffle-tamat;;;;;;
64;THE GENIUS TRASH PRINCE;YOKAIIIAU;"Aksi, Misteri, Fantasi, Komedi";"Seorang jenius game yang telah memecahkan banyak sekali teka teki dalam game yang bahkan tak ada satu pun game sulit yang tidak bisa dia tamatkan. 

Tetapi suatu hari dirinya tak sengaja masuk kedalam dunia game menjadi karakter lemah dan di anggap sampah karena tidak memiliki kekuatan sihir maupun fisik yang lemah.

""Persetan dengan alur cerita game, aku akan menjadi pangeran sampah yang hidup seperti orang mati dan menikmati kekayaan ini!!""";https://www.wattpad.com/story/394180606-the-genius-trash-prince;;;;;;
65;Yohan ;Raai_Rif4L;Keluarga;"[ Brothership, Friendship ]

Yohan itu selalu bangga sama tubuh bongsor tingginya, bahkan teman temannya selalu memanfaatkan dia untuk memimpin jalanan agar membuat lawan ketar ketir seolah melihat titan.

tapi takdir tidak pernah ada yang tau, Yohan harus bertemu psikopat gila di hutan yang membuatnya harus berpindah tubuh dengan seseorang.

namun, tubuhnya sekarang adalah tubuh seorang anak bau kencur yang pendek dan kecil, ini memalukan!";https://www.wattpad.com/story/362366748-yohan-%E2%9C%94%EF%B8%8F;;;;;;
66;EPHEMERAL;Nisreina Nabila;"Romansa, Keluarga";"Dia laki-laki yang mengajarkanku titik tertinggi dalam mencintai. Dia membuat aku jatuh cinta sejatuh-jatuhnya. Dia laki-laki yang kucintai dengan tiba-tiba dan tidak akan pernah aku biarkan pergi. Dengannya aku bahagia, asal dia di sisiku, rasanya dunia akan baik-baik saja.

Aku pernah berusaha untuk terbiasa tanpa dia, rasanya hampir gila karena tidak kuat melawan rindu. Aku pernah sakit karena menahan diri untuk tidak mencarinya, bahkan aku menangis ketika mengingat saat dia terluka.

Lantas jika takdir kami saat ini engkau jadikan satu, maka tolong bantu aku untuk menjaganya. Sebab kehilangannya adalah sesuatu yang benar-benar akan membuatku membenci takdirku sendiri.";https://www.wattpad.com/story/278653289-ephemeral-completed;;;;;;
67;Teman Sebangku Pemalas;Ghoni Adim;"Romansa, Komedi";"Rajin dalam bidang bermalas-malasan 
- Rehan

SINOPSIS:
Serli murid baru harus duduk bersama Rehan. Serli murid paling pintar dan rajin mulai terganggu dengan aktivitas kemalasan Rehan. Kegiatan Rehan di kelas mulai dari tidur saat jam pelajaran, tidur saat jam istirahat, hingga tidur saat jam olahraga. Bukan hanya itu tetapi teman aneh lainnya yaitu Julian sang penjelajah gila yang duduk di depan Serli, Alfi penggemar novel romance comedy baperan, duduk di sebelah kanan Serli. Dan Dinda murid paling terfamous seantero kelas duduk di belakang Serli. 
Ini sebuah pengalaman baru bagi Serli dikelilingi manusia aneh. Keresahan dan pengalaman baru akan dijalani Serli. Sulitkah? Baca sampai habis cerita ini.

Hak Cipta novel ini dilindungi undang-undang. Ditulis dan dipublikasikan oleh Penulis

- Ghoni Adhim.";https://www.wattpad.com/story/190784209-teman-sebangku-pemalas-end;;;;;;
68;In the Footsteps of the Unknown;Benyuk;"Aksi, Fantasi";"Konflik dan konflik, perang pecah setiap hari, pertikaian jadi sarapan tiap pagi. Sampai kapan penderitaan ini selesai?

Seluruh dunia, bukan hanya rumah kita. Nasib mereka sama, apa-apa saja harus menderita. 

Penjajah kejam dan makhluk tamak dengan mudahnya mengusir kita dari rumah, memaksa mencari yang aman dan ramah. 

Seluruh jiwa, bukan hanya kau. Nasib mereka sama, mengundi takdir di perjalanan panjang tanpa akhir.

Lihatlah dua belas imigran ini, mereka kabur dari rumah, pergi ke tengah peperangan, semua demi pernaungan.

Tak perlu kemewahan, sepotong roti gandum dan susu kurma cukuplah bagi mereka.";https://www.wattpad.com/story/388154505-in-the-footsteps-of-the-unknown;;;;;;
69;LIZEA;silviastyrr;"Misteri, Cinta";"Lizea Clarranya James, seorang gadis remaja yang mempunyai kehidupan mewah dan kebebasan,orangtuanya tak pernah mengawasinya. Ia baru saja pindah ke Indonesia. Bergabung dengan salah satu geng motor populer,yang mempunyai musuh misterius.

Terlebih lagi menerima takdir sebagai anak brokenhome. Dimana ayahnya yang justru memisahkannya dengan kakak sendiri.

Bukannya bahagia saat di Indonesia,ia harus menerima teror dan masa lalu yang kembali menghantui.


Akankah dia tahu musuh misteriusnya?

Akankah dia tahu siapa yang menerornya?

Akankah dia bisa berdamai dengan masa lalu?
";https://www.wattpad.com/story/259753554-lizea-end;;;;;;
70;Innocent Heart;REINA RELISTHA;"Romansa, Komedi";"""Pasal satu, dosen selalu benar.
Pasal dua, jika dosen salah, harap kembali ke pasal satu.""


Menjadi mahasiswa yang biasa-biasa saja, adalah apa yang kupikir akan kujalani di semester lima ini. Siapa sangka kalau ternyata aku salah.

Aditya Rahardian. Dosen aneh pecinta buku, yang punya model kerangka manusia utuh di kantornya. Punya kemampuan menghisap kesabaran dan kewarasan dari ubun-ubun. Selalu bikin stres! 

Dan kabar buruknya, hingga akhir semester nanti aku malah terjebak bersamanya.

Bye... Bye... Kebebasanku...";https://www.wattpad.com/story/145144405-innocent-heart-tamat;;;;;;
71;TRANSMIGRASI PEMUSNAH CAHAYA;tham_N;"Humor, Fantasi, Aksi";"Dimas, seorang analis data yang sinis, baru aja selesai baca novel itu sambil mengumpat. ""Kalau gue jadi Archi, udah gue bantai semua!""

?...Hati-hati sama ucapan.

?Tewas dan terbangun sebagai Pangeran Archi-tepat seminggu sebelum hidupnya hancur total. 

Misinya cuma satu: Balas dendam. Brutal, efisien, dan tanpa ampun.


?Ini bukan kisah pahlawan yang menyelamatkan dunia. Ini kisah seorang 'Manajer' gila yang mengubah hutan terkutuk jadi pabrik perang, menghancurkan kerajaannya.";https://www.wattpad.com/story/403656851-transmigrasi-pemusnah-cahaya-revisi;;;;;;
72;Another Cannon Fodder;diamond_life5;Keluarga;"Vallen terbangun dan mendapati ia kembali ke masa lalu.

Ternyata ia bukanlah anak kandung dari keluarganya saat ini. Saat mengetahui itu ia menolak untuk kembali ke orang tua kandungnya. Jadi Vallen selalu membuat masalah dengan keluarganya dan menolak kehadiran Tuan Muda asli  itu.

Tapi siapa sangka ia akan berakhir tragis. Ia akhirnya tersadar dan tidak ingin mengulangi kesalahan yang sama. Ia dengan patuh akan meninggalkan keluarga yang sudah dari kecil hidup bersama. 

Vallen mulai merelakan semuanya dan tidak lagi mengharapkan apa yang disebut 'keluarga'.

Sampai suatu hari, si kembar Martinez mendatanginya.

""Vallen, kan?""

Vallen dengan kaku menganggukkan kepalanya. 

""Kami menyukaimu, mulai sekarang Vallen akan menjadi adik kami.""

""Huh?""";https://www.wattpad.com/story/344968062-another-cannon-fodder;;;;;;
73;Melodi untuk Jasmine;Alda Miranda;Romansa;"""Satu-satunya perempuan yang bisa membuat aku sempurna cuma kamu, Jess. Nggak ada perempuan lain yang lebih hebat dari kamu.""
-Evan-
--
Bagi Jasmine, gadis cantik yang dingin dan angkuh, hidupnya hanyalah sebuah sepi berkepanjangan. Ia menginginkan kebahagiaan yang utuh dari ayahnya. Namun, ayahnya terus larut dalam kesibukan dan selalu bersikap dingin kepadanya.

Bagi Evan hidupnya telah kehilangan tujuannya. Semua mimpi telah lenyap di masa lalu. Tak ada seorang pun yang mampu membantunya kembali bangkit, termasuk keluarga dan sahabatnya. 

Dan pada sebuah kisah yang telah langit tentukan, mereka akhirnya bertemu. Melalui berbagai kenyataan pahit di masa lalu dan genggaman masa depan, akankah mereka menemukan kebahagiaan, tujuan, serta asa mereka kembali?";https://www.wattpad.com/story/258662921-melodi-untuk-jasmine-end;;;;;;
74;Inersia;Anassatia;Cinta;"Awalnya tidak ada yang salah dengan Risyafa Airen. Seorang murid perempuan tingkat akhir di sekolah menengah atas. Eh, ada yang aneh satu hal. Perempuan ini hobi membolos. Sekolah udah seperti punya Ayahnya aja! 

Satu kejadian di kelas membuat Revanza mau tidak mau berhubungan dengan Risya, karena Revan menyenggol teman seperjuangannya Risya. Berawal dari kejadian itu, tanpa disadari ""tidak ada yang salah"" dengan Risya ternyata hanya luarnya saja. 

Revan tidak tau bagaimana Risya menghadapi semuanya. Menghadapi rentetan kejadian yang meremukkan hati, mematahkan harapan dan menghancurkan hidup seolah tidak berujung. 

""Karena pada dasarnya manusia cuma pengen dihargai dan didengarkan. Itu semua udah cukup untuk menenangkan diri, kalau abis ini: semuanya bakal baik-baik aja. Emang sih cuma kata-kata dan kedengeran bullshit. Tapi, kata-kata ini yang bikin orang jadi semangat untuk lanjutin hidup, bahkan ketika dunia menyuruhnya untuk menyerah.""";https://www.wattpad.com/story/188933895-inersia;;;;;;
75;ASRAR;elicymine;"Fantasi, Romansa";"""Kita akan terus bersama, sampai maut tidak bisa memisahkan kita berdua.""

Agatha, gadis yang mempunyai hidup biasa-biasa saja. Tidak ada yang unik dalam hidupnya.

Suatu hari, Agatha membaca ulang sebuah novel untuk mengisi waktu luangnya. Walaupun sudah membaca novel tersebut beberapa kali, Agatha selalu gagal paham dengan endingnya. Bukannya menjadi tenang, Agatha dibuat semakin pusing oleh ending novel itu.

Pagi harinya, ia semakin dibuat sakit kepala. Agatha berubah menjadi seorang anak kecil. Bukan seorang anak kecil biasa, ia masuk ke dalam tubuh antagonis dari novel yang ia baca semalam.

Dengan berbekal ingatan dan keampuan yang ada, Agatha mencoba untuk menjalani hidup. Sialnya, ia harus berurusan dengan para tokoh dari novel. Beruntung, Agatha memiliki rencana yang mungkin saja membawa keuntungan untuknya.

Tetapi hidup tidak selalu berjalan sesuai dengan rencana, ada banyak rahasia dan kejutan yang menanti.

Apa yang akan ia lakukan selama tinggal di dunia yang asing itu?";https://www.wattpad.com/story/255416050-asrar-terbit;;;;;;
76;ALAKSA;CHOCONAI;Keluarga;"ALAKSA. Sebuah nama yang akan selalu diingat seantero SMA Tabrana. Geng motor yang beranggotakan anak-anak yang hebat, bahkan terkenal dari segi latar dan kemampuan. Walau begitu, mereka bisa menjadi iblis ataupun malaikat tergantung siapa yang berhadapan dengan mereka.

Michael Raditya Albarov. Pria yang sangat disanjung-sanjungkan kaum hawa. Pria yang mempunyai latar belakang tertutup dan namanya selalu di perdengarkan di sekolah karena kenakalan dan keberisikannya, tetapi dengan kepintaran dan kecerdikannya itu membuat guru-guru sedikit segan untuk menghukumnya.

Pertemuan Michael dan Dini bukanlah sesuatu hal yang menakjubkan, tetapi pertemuan itu awal dari semua perubahan di antara mereka.

Sampai rahasia mereka terungkap semuanya.";https://www.wattpad.com/story/230864593-alaksa-end;;;;;;
77;Eavesdrop;millenium_author;"Romansa, Komedi";"Katanya, dia galak.
Katanya, dia suka bantai mahasiswa.
Katanya, dia pelit nilai.
Katanya lagi, dia gay.

Naya pusing mendengar kalimat-kalimat pengantar super buruk itu. Maha-siswa. Seharusnya titel itu terdengar keren untuk diucapkan. Hitung-hitung bisa digunakan untuk pamer ke teman-temannya yang lain kalau dia sudah naik satu level menjadi maha.

Namun, apalah daya ketika kenyataan tidak seindah ekspektasi. Jadi mahasiswa itu berat. Pontang-panting mencari referensi tugas, praktikum seabrek sampai modus dengan dosen untuk mendapat nilai A. Iya kalau dosennya murah hati, suka menabung, dan tidak sombong. Kalau kebalikannya?

Dia, Adiandra Arshanaya Aileen, dengan ini menyatakan perang dengan Allovian Keanandra, si muka tembok dan raja kuis mendadak!";https://www.wattpad.com/story/160994382-eavesdrop-tamat;;;;;;
78;SELF LOVE;ceyetrr;"Humor, Cinta, Keluarga";"Arenia Calira, nama yang indah tapi tak seindah kisah hidupnya. Si gadis dingin namun pintar yang memiliki banyak kelebihan. Tapi sejatinya, setiap manusia juga memiliki kekurangan bukan?

Arenia ingin keluar dari zona buruknya namun kebiasaan itu seperti sudah melekat dalam hidupnya. Masalah mental yang membuatnya kewalahan hingga kepingan masa lalu yang tak kunjung terselesaikan. 

Kedatangan orang baru bahkan orang lama yang membuka kembali lembaran kelam yang sayangnya amat dia rindukan. 

Arenia harus memilih, mengikhlaskan semua yang telah terjadi atau tetap terjebak dalam hidup kelamnya. 

Dia hanya butuh seseorang untuk membuatnya merasa dicintai. Namun Arenia lupa, bagaimana dia ingin dicintai jika tidak mencintai dirinya sendiri? ";https://www.wattpad.com/story/272297644-self-love;;;;;;
79;Kapan Resign?;viallynn;"Romansa, Komedi";"Kehidupan Kayshila Diatmika berubah ketika dia bertemu dengan Wiratama Arthawongso, pengganti atasannya yang tengah cuti melahirkan selama tiga bulan. Pekerjaan yang selama ini berjalan aman mendadak berubah menjadi proyek penyiksaan. Namun sebagai tulang punggung keluarga Shila harus mampu bertahan. Berbeda dengan Wira yang selalu menyudutkan dengan pertanyaan ""Kapan Resign?""

""Jadi, kapan kamu resign?""

""Pak, kerja saya sudah benar, selesai tepat waktu juga. Saya kurang apa lagi?""

""Kurang akhlak.""
";https://www.wattpad.com/story/388871620-kapan-resign;;;;;;
80;Rintik Hujan;luxcy Aqueen;"Romansa, Keluarga";"Ini tentang seseorang sang pengagum hujan, si penikmat tangisan sang semesta yang terlihat tegar namun rapuh didalam.

""Kisah Mengenai semesta yang tak berpihak pada nya.""

***

""Gue tuh capek Ga! Selalu diberi harapan tapi nggak di prioritasin, selalu di pertahanin tapi nggak lo perhatiin!""

***

""Alvian kecelakaan Na, motornya masuk kolong truk yang nabrak dia. Sekarang dia lagi di operasi.""

***

""EGOIS LO!"" 

""Gue tau gue egois, tapi kalo emang itu yang bisa buat Ana tetap sama gue, maka bakal gue lakuin, karena gue sayang sama dia, gue cinta sama dia."" 

***

""Dokter Gibran!""

""Hm?""

""Kalo Ana capek, boleh istirahat aja?""

Gibran terdiam, ia mengangguk lemah.

Setelah itu terdengar nyaring bunyi alat Bedside Monitor yang memenuhi ruang rawat.

***

Bagi seorang perempuan yang memiliki masalah di keluarga nya, dan mendapatkan seorang laki-laki yang dia cintai, ia akan mencintai laki-laki itu melebihi dirinya, kenapa? 

Karena ia butuh tempat pulang kedua setelah tempat pulang pertama telah hancur berantakan, namun apa yang terjadi disaat rumah ke duanya telah dimiliki orang lain?
";https://www.wattpad.com/story/275597847-rintik-hujan;;;;;;
81;Stay Here;Silvifty_;"Humor, Cinta, Keluarga";"Ayla Amelia, gadis remaja lemah lembut yang harus pindah sekolah ke Jakarta dikarenakan orang tuanya tugas dinas disana, berat baginya meninggalkan kota kelahirannya, ya bandung. Kota asri nan nyaman, ia pikir kepindahannya ke Jakarta akan baik baik saja, tapi tidak setelah bertemu si mostwanted disekolah nya. 

Revan syahreza, sebenarnya revan juga bukan badboy, tetapi sikap yang dingin terhadap orang lain, menjadikan dia cool dan banyak di gemari kaum wanita di sma cita bangsa. Dia mempunyai sikap dingin, tapi sikap dingin itu tidak muncul ketika seseorang yang tanpa sengaja hadir di kehidupannya.

----

Aku mengenalmu tanpa sengaja dan mencintaimu secara tiba-tiba 

Kalau kamu emang ditakdirin buat aku. You will stay here with me and never leave me

Jadi apakah yang terjadi selanjutnya?";https://www.wattpad.com/story/170221007-stay-here;;;;;;
82;I'm Serious!;appffien;"Fantasi, Cinta, Misteri";"Awalnya ia hanya penasaran dengan sebuah novel yang jarang diminati oleh kalangan anak muda. Kebanyakan dari mereka menilai bahwa buku yang kini ia pegang kurang menarik. Meski begitu, Gladys justru membeli novel mahal serta bersampul tak menarik itu.

Ia pikir novel berjudul The antagonis itu hanya kisah kisah klise biasa namun, siapa sangka bahwa isi novel itu mampu membuat seorang Gladys menghentikan nafasnya untuk sesaat.

Dia tidak mati namun novel ini benar benar diluar dugaan!

""Membiarkanmu pergi adalah sebuah keharusan."" 

Sepenggal kalimat diakhir novel itu. Anehnya, novel tersebut termasuk happy ending dengan pemeran utama hidup berbahagia selama lamanya. Namun apa maksud dari kalimat itu?

Jujur saja Gladys tidak memihak pada tokoh manapun. Nyatanya novel tersebut hanya menghadirkan sosok antagonis pria yang terobsesi sosok malaikat yaitu si pemeran utama wanita. Meski begitu sudah bisa ditebak bagaimana akhir si protagonis wanita bukan? antagonis dan protagonis tidak akan bersatu.

Lalu bagaimana bila Gladys masuk kedalam novel itu?

Akankah ia akan mampu bertahan didunia asing itu? ";https://www.wattpad.com/story/312242200-i%27m-serious-end;;;;;;
83;DARLENNA;seillafei;"Keluarga, Romansa, Komedi";"Begitu banyak teka-teki dan lika-liku masalah kehidupan, tidak ada yang tau jelas alur jalan cerita kita. Banyak hal tak terduga sering membuat kita tidak percaya akan kenyataan, terlebih baik dan buruk segalanya sudah ditentukan di alur cerita yang penuh rahasia.

Sebuah kisah ringan serta konflik sederhana, Elenna Asya Aurely gadis cantik dengan sejuta rahasia di hidupnya, di pertemukan dengan lelaki yang sempat menemani nya ketika kecil itu telah kembali. Dia adalah Darrendra Irsyad Aulian.

Segala masalah terus menerus datang setelah Elenna dekat dengan seorang pria lain, entah itu masalah besar maupun kecil. Terlebih teror yang terus menghantuinya membuat Elenna semakin tertekan. Di tambah sebuah fakta mengejutkan yang benar-benar membuatnya sempat tidak percaya.

""Dunia ini sempit ya, bahkan gue nggak habis pikir, ternyata kita semua saling terhubung satu sama lain.""
- Elenna";https://www.wattpad.com/story/273624107-darlenna-tamat;;;;;;
84;Mr. Congkak;nevadwi;"Romansa, Humor, Keluarga";"Rivana Ravesa hanya ingin kehidupan perkuliahan yang tenang di kota Berlin seperti yang selama ini dia impikan, tetapi hal itu tampaknya tidak mungkin terjadi ketika Alfandi Raiser muncul di kehidupannya.


***


Semua berjalan sempurna bagi Rivana Ravesa ketika menginjakkan kaki di kota Berlin untuk menempuh pendidikan perguruan tinggi seperti impiannya selama ini. Namun, seorang pria yang terus memanggilnya dengan sebutan 'gadis buluk' terus mengganggunya dan merubah hari-hari tenangnya menjadi seperti di neraka. Alfandi Raiser, terkenal sebagai musuh besar Rivana oleh seisi kampus. Angkuh, kasar, dan tidak mempunyai hati, itulah penilaian Rivana terhadap Alfandi meski sebenarnya Alfandi-yang menaruh perasaan pada Rivana-mengganggu hanya untuk mendapatkan perhatian gadis itu karena kesulitan untuk mengungkapkan perasaan yang dimilikinya. Lalu, apa yang akan terjadi dengan mereka ketika Merry-sosok dari masa lalu Alfandi-datang kembali ke kehidupannya, situasi yang mengancam hubungannya dengan Rivana ketika sudah mulai membaik?";https://www.wattpad.com/story/176883193-mr-congkak;;;;;;
85;Esya;Nafesya20;"Keluarga, Romansa";"Renesya, gadis dengan senyum ramah walau takdir mempermainkannya dengan berbagai luka dihati. Bertransmigrasi ke tubuh tokoh favoritenya dengan takdir yang tak jauh beda, apakah ia sanggup menjalaninya?

Kejanggalan mulai terjadi, alur novel pun berubah menjadi tak tertebak. Esya harus bisa bertahan dan meluluhkan hati ayah juga ketiga abangnya. 

Sampai akhirnya beberapa fakta hadir mengejutkan dirinya. Apa ia bisa menerima fakta-fakta tersebut?";https://www.wattpad.com/story/323063513-esya-terbit;;;;;;
86;Broken Flower;Ollyjayzee;"Romansa, Komedi";"Dipta adalah seorang pengecut yang gagal.
Rumah tangganya berantakan, anak perempuannya hampir mengakhiri hidupnya sendiri, dan perempuan yang menjadi pasangannya memutuskannya setelah mereka kumpul kebo bertahun-tahun.
Seolah belum cukup, karena kesalahpahaman dengan seorang teman kerja, membuatnya kehilangan pekerjaan yang dia impikan. 
Dan kini, atas belas kasihan pemilik perusahaan, dia bisa bekerja lagi tapi harus merintis kembali dari bawah.
 
Seruni seorang pecundang.
Tidak ada yang dia banggakan dari hidupnya. Dia tidak sehebat sang mama, single mother luar biasa  yang sukses membesarkan dua anak perempuan sendirian setelah diceraikan oleh suaminya. Seruni juga tidak sepintar Dahlia, adiknya yang super pintar super baik, yang bekerja di perusahaan ternama.
Namun bersama Mama dan Dahlia, maski dia hanya berfungsi sebagai pelengkap, paling tidak Seruni memiliki rumah dan orang-orang yang dia sayangi.
Suatu ketika keadaan memaksa mereka berpisah. Tiba-tiba saja Seruni dipaksa keadaan untuk hidup sendiri.
Seruni yang anak rumahan, yang selama ini hidup di zona nyaman, harus hidup mandiri sendirian. Sanggupkah dia?";https://www.wattpad.com/story/355537064-broken-flower;;;;;;
